Project Name:,FOX NOW Web (Production),,,,
Project Platform:,web,,,,
Project ID:,2364010203,,,,
Event Name,Event Type,Event ID,Event Status,,
Clicked Vote - Overlay,click,11210183757,Inactive,,
Banner X Click,click,11456070874,Inactive,,
MVPD Sign In Click,click,11781945526,Inactive,,
Authentication Successful,custom,11925250044,Inactive,,
Profile Signed Up,custom,12103711262,Active,Delete,
PP Sign In Click,click,12115085244,Inactive,,
Profile Signed In,custom,12124751575,Inactive,Delete,
Notification Bar CTA Click,click,12990630266,Inactive,,
Fox Link,click,13117190365,Inactive,,
FOX Link,click,13128640342,Inactive,,
Click Hero,click,9668471190,Inactive,,
Click #3,click,9696480865,Inactive,,
Shows Button Click,click,9857840803,Inactive,,
FX Presents Container Click,click,9862301490,Inactive,,
Click #4,click,9666500500,Inactive,,
Click FX Presents,click,9667131133,Inactive,,
Click #4,click,9667341237,Inactive,,
Click Event for #https\:\/\/api\.fox\.com\/fbc-content\/v1_4\/video\/05da590ce5965a69105d7aa2ffa744b8794_slide > .ft-homeSlideHeader,click,9668151346,Inactive,,
Fox Presents See More Click,click,9862301492,Inactive,,
View Collections Button Click,click,9862381276,Inactive,,
Video Started,custom,9107973897,Active,Delete,
Content Started,custom,9183411274,Active,Delete,
The Gifted Click Start,click,9188211160,Inactive,,
Click Event for #https\:\/\/api\.fox\.com\/fbc-content\/v1_4\/video\/05da590ce5965a69105d7aa2ffa744b8794_slide > .ft-homeSlideHeader,click,9659531166,Inactive,,
Click #1,click,9662710908,Inactive,,
Clicked Header CTA,click,14726610063,Inactive,,
Clicked Special Events Link,click,14724470262,Inactive,,
Clicked FOXSports Link on Nav Bar (1),click,14698270552,Inactive,,
Clicked News Tab,click,14688610141,Inactive,,
Clicked FoxNews on Nav Bar (2),click,14703230035,Inactive,,
Clicked Entertainment Tab,click,14698510178,Inactive,,
Clicked FoxNation on Nav Bar (2),click,14705170061,Inactive,,
Clicked Profile Sign In,click,14703310029,Inactive,,
Clicked Sports Tab,click,14709220045,Inactive,,
Video Content Started,custom,14705370106,Active,,
Click #1,click,9664010581,Inactive,,
Click Hero,click,9662940149,Inactive,,
"Clicks on ""WATCH""",click,9664821709,Inactive,,
Click #3,click,9664810896,Inactive,,
Closed Bar,click,11200773948,Inactive,,
Clicked Vote Now - Bar,click,11198765181,Inactive,,
Click Hero (1),click,9665721600,Inactive,,
Click FX Presents,click,9665651719,Inactive,,
Time to Video Start,custom,11083729554,Inactive,Delete,
Movies Button Click,click,10852480953,Inactive,,
Traditional TV Provider Featured List Viewed,custom,11099516835,Active,Delete,
Profile Screen Presented,custom,11089665645,Active,,
New Girl Tile Item Clicks,click,10696990902,Inactive,,
Favorite Changed,custom,10640070211,Inactive,Delete,
Live TV Button Click,click,10849900856,Inactive,,
Search Button Click,click,10844060738,Inactive,,
Click #2,click,9666460853,Inactive,,
Click Hero,click,9665970224,Inactive,,
Click #2,click,9665310444,Inactive,,
Clicked FoxBusiness on Nav Bar (2),click,14684860105,Inactive,,
Clicked TV Provider Sign In,click,14688240617,Inactive,,
Clicked FOXBusiness Link on Nav Bar,click,14449910149,Inactive,,
Clicked FoxBusiness on Nav Bar (1),click,14453930141,Inactive,,
Clicked FOXNation Link on Nav Bar,click,14446010190,Inactive,,
Clicked FoxNews on Nav Bar,click,14447830360,Inactive,,
Clicked FOXSports Link on Nav Bar,click,14459940027,Inactive,,
Clicked Home Tab,click,14670591135,Inactive,,
Clicked FoxSports on Nav Bar (1),click,14457700393,Inactive,,
Clicked FOXNews Link on Nav Bar,click,14459800176,Inactive,,
Fox Presents Item 2 Click,click,10282581959,Inactive,,
Viewed SeriesDetail Page,custom,10410785719,Inactive,Delete,
Fox Presents Item 4 Click,click,10277492402,Inactive,,
Shows Button Click,click,10279912010,Inactive,,
Fox Presents Item 1 Click,click,10228946391,Inactive,,
Fox Presents Item 3 Click,click,10275063852,Inactive,,
Hero Item Clicks,click,10163966630,Inactive,,
Hero Show Page,click,10166287856,Inactive,,
Fox Presents Item 1 Click,click,9870680350,Inactive,,
Live TV Button,click,9875270843,Inactive,,
Ghosted Click Start,click,9181520966,Inactive,,
Lucifer Click Start,click,9185191950,Inactive,,
Family Guy Click Start,click,9188302057,Inactive,,
Click Hero (1),click,9661721546,Inactive,,
Click Nat Geo Presents,click,9662720465,Inactive,,
Clicked FoxNews on Nav Bar (1),click,14439710576,Inactive,,
Clicked FoxBusiness on Nav Bar,click,14437930108,Inactive,,
Clicked FoxSports on Nav Bar,click,14426400043,Inactive,,
PP Link Clicks,click,13679400080,Inactive,,
PP Overlay Login Click,click,13661180240,Inactive,,
TV Provider Button Click,click,13578200155,Inactive,,
FX Link,click,13142560013,Inactive,,
NatGeo Link,click,13129310007,Inactive,,
Clicked FoxNation on Nav Bar (1),click,14441900211,Inactive,,
Clicked FoxNation on Nav Bar,click,14440090164,Inactive,,
Search Button,click,9870181295,Inactive,,
Fox Presents Item 3 Click,click,9869060681,Inactive,,
Click Nat Geo Presents,click,9664850954,Inactive,,
Fox Presents Item 2 Click,click,9865181229,Inactive,,
"Clicks on ""WATCH""",click,9864441278,Inactive,,
Fox Presents Item 4 Click,click,9863721636,Inactive,,
Profile Button Click,click,9862781779,Inactive,,
Movies Button Click,click,9866651298,Inactive,,
Primetime Schedule Button,click,9866641168,Inactive,,
Fox Presents Collection Area Click,click,9866612527,Inactive,,
Fox Presents Hero Item Click,click,9865330830,Inactive,,
Masked Singer Click,click,17766410045,Inactive,,
cta click,click,17766440026,Inactive,,
cta click,click,17770180108,Active,,
16:9 Play Icon Click,click,17774304368,Active,,
cta click Tx1KhJhMia3bCWxskUcuyu VCm569uyjYyhYo4mSWFGvM,click,17774791034,Inactive,,
9-1-1 Playhead Click,click,17778360040,Active,,
Live Now Playhead Click,click,17780230022,Active,,
Upcoming Tile Click,click,17787300164,Active,,
Viewed Watch Page,custom,17789240686,Active,Delete,
Drama Click,click,17790940103,Inactive,,
Video Ad Break Started,custom,16733570399,Active,,
Video Ad Break Completed,custom,16741340626,Active,,
Profile Sign Up Completed,custom,17428021134,Active,,
Featured Collection Playhead Click,click,17428140709,Active,,
Watch Now/Live Button Clicks,click,16577220221,Inactive,,
"Live ""Restart"" Button",click,16581060521,Inactive,,
"More Episode/Info and ""Restart"" Button Clicks",click,16583090394,Inactive,,
Video Playback Started,custom,16733290097,Active,,
Featured Collection Playhead Click,click,17431510541,Inactive,,
Featured Collection More Episodes Click,click,17447080329,Active,,
Clicked Live TV Tab,click,14795590009,Inactive,,
Clicked STW Tile in Winning Big Collection,click,15589610849,Inactive,,
Live Video Content Start,custom,15928161071,Inactive,Delete,
Authentication Select Provider Completed,custom,16014150232,Active,,
Watch Now Button Click,click,16031650530,Inactive,,
Profile Sign Up Started,custom,16180060279,Active,,
|Live Video Content Started (Part of AWS Lambda POC,DO NOT USE)|,custom,16087030793,Inactive,
|VOD Video Content Playing (Part of AWS Lambda POC,DO NOT USE)|,custom,16079530604,Inactive,
|VOD LF Video Content Playing (Part of AWS Lambda POC,DO NOT USE)|,custom,16073930262,Inactive,
|VOD LF Video Content Started (Part of AWS Lambda POC,DO NOT USE)|,custom,16085430536,Inactive,
|VOD Video Content Started (Part of AWS Lambda POC,DO NOT USE)|,custom,16083620534,Inactive,
Reality Click,click,17766340080,Inactive,,
CTA Click,custom,17764763137,Active,Delete,
Added Favorites,custom,16331960550,Active,,
Removed Favorites,custom,16316910267,Active,,
Show Name Clicks,click,16553690475,Inactive,,
Global 16:9 Thumb Click,click,17743150006,Active,,
Recommended Playhead Click,click,17762440160,Active,,
Crime Click,click,17760740143,Inactive,,
Continue Watching 16:9 Favorite Click,click,17735630014,Active,,
Upcoming 16:9 Info Click,click,17735470014,Active,,
Global 16:9 Play Icon Clicks,click,17741110042,Inactive,,
Continue Watching 16:9 Info Click,click,17739140057,Active,,
Comedy Click,click,17754860074,Inactive,,
"Live ""More Info"" Button",click,16550010136,Inactive,,
Recommended 16:9 Play Icon Click,click,17733460048,Inactive,,
Prodigal Son 16:9 Info Click,click,17733490010,Active,,
Prodigal Son 16:9 Favorite Click,click,17731490059,Active,,
Empire Returns 16:9 Favorite Click,click,17733350032,Active,,
Upcoming 16:9 Play Click,click,17729620039,Active,,
Recommended 16:9 Info Click,click,17729650024,Active,,
Live Now 16:9 Info Click,click,17728050025,Active,,
Empire Returns 16:9 Info Click,click,17729440028,Active,,
Recommended 16:9 Favorite Click,click,17720040072,Inactive,,
Live Now 16:9 Favorite Click,click,17727850023,Active,,
Authentication Completed,custom,15576820722,Active,,
Video Content Playing,custom,15599300863,Active,,
Authentication Select Provider Started,custom,16005930455,Active,,
More Episodes Button Click,click,16025900739,Inactive,,
|Live Video Content Playing (Part of AWS Lambda POC,DO NOT USE)|,custom,16073600519,Inactive,
Showcase Play Button Click,click,17832930046,Active,,
Live Now 16:9 Play Icon Click,click,17831380006,Active,,
Catch Up On Masked Singer 16:9 Play Click,click,17815970159,Active,,
Poster Play Icon Click,click,17808320009,Active,,
Catch Up On Gordon Ramsay 16:9 Play Icon Click,click,17804600049,Active,,
Prodigal Son Playhead Click,click,17797030094,Active,,
cta click Tx1KhJhMia3bCWxskUcuyu,click,17791210602,Active,,
Live Now 16:9 Play Click,click,17719820056,Active,,
Upcoming 16:9 Favorite Click,click,17718080056,Active,,
Search Result Selected,custom,17510381058,Active,,
Modal Click,click,17483690868,Active,,
Search Click,click,17470521768,Active,,
16:9 Thumbnail Click,click,17447121017,Active,,
Empire Returns 16:9 Play Click,click,17716350023,Active,,
Continue Watching 16:9 Play Click,click,17710640031,Active,,
Prodigal Son 16:9 Play Click,click,17709370436,Active,,
Search Started,custom,17515770968,Active,,
URL Targeting for Copy of FOX.com Metrics QA,pageview,16160600024,Inactive,,
URL Targeting for Add CTA test,pageview,16176010258,Inactive,,
URL Targeting for MARCRE-169 The Masked Singer Experiment #1,pageview,16262871062,Inactive,,
URL Targeting for MARCRE-170 The Masked Singer Experiment #2 [Video Tile Icons],pageview,16294980284,Inactive,,
URL Targeting for MARCRE-171 The Masked Singer Experiment # 3 [Favorites],pageview,16336080622,Inactive,,
URL Targeting for MARCRE-169 The Masked Singer Experiment #1(mobile),pageview,16366530261,Inactive,,
URL Targeting for CPEWEB-16 - Content Density - Showcase Update,pageview,16397630285,Inactive,,
URL Targeting for GUILD:  authentication_state Targeting QA,pageview,16537950518,Inactive,,
URL Targeting for (ZR) Authenticated Users Targeting,pageview,16569680184,Inactive,,
URL Targeting for 9-1-1 CTA Experiment #1,pageview,16604530035,Inactive,,
URL Targeting for Shows Page New Girl Banner,pageview,10708180173,Inactive,,
New Girl Shows Page Visits,pageview,10719393936,Inactive,,
URL Targeting for SB_Test_UAT,pageview,10742721329,Inactive,,
